Watershed,Date,Trap,Dipteran_Large,Terrestrial_Large,Caddisfly_Large,Mayfly_Large,Stonefly_Large,Other_Large,Dipteran_Small,Terrestrial_Small,Other_Small
1,5/14/2018,6,1,3,,,1,,,,
1,5/14/2018,4,,3,,,,,45,15,
1,5/14/2018,10,,,,,,,47,15,
1,5/14/2018,2,,7,,,,,48,28,
1,5/14/2018,7,,2,,,,,54,34,
1,5/14/2018,1,,4,,,,,,,
1,5/14/2018,3,,1,,,,,,,
1,5/14/2018,5,1,3,,,,,,,
1,5/14/2018,8,4,3,,,,,,,
1,5/14/2018,9,2,3,1,,,,,,
1,5/21/2018,7,1,4,,,2,,,,
1,5/21/2018,9,4,1,,,,,30,4,
1,5/21/2018,10,2,3,,,,,34,10,
1,5/21/2018,3,,1,,,,,57,6,
1,5/21/2018,1,2,1,1,,,,85,4,
1,5/21/2018,2,1,,1,,,,,,
1,5/21/2018,4,3,,,,,,,,
1,5/21/2018,5,2,3,,,,,,,
1,5/21/2018,6,1,1,,,,,,,
1,5/21/2018,8,1,6,,,,,,,
1,5/29/2018,9,,6,,,1,,41,5,
1,5/29/2018,1,4,6,1,,1,,,,
1,5/29/2018,7,2,7,,,1,,,,
1,5/29/2018,8,1,3,4,,1,,,,
1,5/29/2018,4,2,,,,2,,25,2,
1,5/29/2018,2,,1,2,,2,,,,
1,5/29/2018,3,4,5,,,2,,,,
1,5/29/2018,6,1,2,,,4,,44,5,
1,5/29/2018,5,3,3,1,,,,70,3,
1,5/29/2018,10,1,4,,,,,,,
1,6/4/2018,6,,3,1,,1,,25,4,
1,6/4/2018,8,2,2,,,1,,36,,
1,6/4/2018,9,,2,3,,1,,,,
1,6/4/2018,2,1,1,,,2,,14,5,
1,6/4/2018,3,1,2,,,2,,,,
1,6/4/2018,7,1,2,,,2,,,,
1,6/4/2018,4,7,7,2,,,,37,6,
1,6/4/2018,1,1,1,,,,,,,
1,6/4/2018,5,3,3,,,,,,,
1,6/4/2018,10,2,3,,,,,,,
1,6/4/2018,,,,,,,,,,
1,6/11/2018,1,,1,,,1,,,,
