Date,Trap ,Dipteran_large,Dipteran_small,Watershed
7/9/2018,1,1,2,HBK
7/9/2018,2,1,4,HBK
7/9/2018,3,1,14,HBK
7/9/2018,4,1,7,HBK
7/9/2018,5,3,14,HBK
7/9/2018,6,4,7,HBK
7/9/2018,7,4,18,HBK
7/9/2018,8,2,22,HBK
7/9/2018,9,1,11,HBK
7/9/2018,10,1,8,HBK
7/16/2018,1,,25,HBK
7/16/2018,2,1,14,HBK
7/16/2018,3,2,13,HBK
7/16/2018,4,2,16,HBK
7/16/2018,5,2,48,HBK
7/16/2018,6,1,28,HBK
7/16/2018,7,2,18,HBK
7/16/2018,8,,20,HBK
7/16/2018,9,1,19,HBK
7/16/2018,10,1,16,HBK
7/23/2018,1,1,,HBK
7/23/2018,2,2,,HBK
7/23/2018,3,1,31,HBK
7/23/2018,4,5,19,HBK
7/23/2018,5,,,HBK
7/23/2018,6,,1,HBK
7/23/2018,7,4,13,HBK
7/23/2018,8,3,27,HBK
7/23/2018,9,,2,HBK
7/23/2018,10,,1,HBK
7/30/2018,1,,6,HBK
7/30/2018,2,,4,HBK
7/30/2018,3,1,16,HBK
7/30/2018,4,1,26,HBK
7/30/2018,5,,4,HBK
7/30/2018,6,1,2,HBK
7/30/2018,7,1,7,HBK
7/30/2018,8,,9,HBK
7/30/2018,9,1,8,HBK
7/30/2018,10,,7,HBK
8/6/2018,1,,7,HBK
8/6/2018,2,2,2,HBK
8/6/2018,3,,16,HBK
8/6/2018,4,,10,HBK
8/6/2018,5,,6,HBK
8/6/2018,6,1,12,HBK
8/6/2018,7,2,5,HBK
8/6/2018,8,,4,HBK
8/6/2018,9,,3,HBK
8/6/2018,10,,1,HBK
8/13/2018,1,1,,HBK
8/13/2018,2,,6,HBK
8/13/2018,3,2,1,HBK
8/13/2018,4,0,,HBK
8/13/2018,5,,5,HBK
8/13/2018,6,1,3,HBK
8/13/2018,7,,8,HBK
8/13/2018,8,,6,HBK
8/13/2018,9,1,8,HBK
8/13/2018,10,,6,HBK
8/20/2018,1,,5,HBK
8/20/2018,2,1,7,HBK
8/20/2018,3,,12,HBK
8/20/2018,4,,23,HBK
8/20/2018,5,1,11,HBK
8/20/2018,6,1,10,HBK
8/20/2018,7,2,7,HBK
8/20/2018,8,1,9,HBK
8/20/2018,9,,21,HBK
8/20/2018,10,,22,HBK
8/27/2018,1,1,3,HBK
8/27/2018,2,,6,HBK
8/27/2018,3,5,1,HBK
8/27/2018,4,4,,HBK
8/27/2018,5,,8,HBK
8/27/2018,6,,8,HBK
8/27/2018,7,,8,HBK
8/27/2018,8,2,1,HBK
8/27/2018,9,,8,HBK
8/27/2018,10,2,15,HBK
9/4/2018,1,3,32,HBK
9/4/2018,2,1,33,HBK
9/4/2018,3,2,12,HBK
9/4/2018,4,,13,HBK
9/4/2018,5,,17,HBK
9/4/2018,6,2,25,HBK
9/4/2018,7,1,18,HBK
9/4/2018,8,,11,HBK
9/4/2018,9,,10,HBK
9/4/2018,10,,25,HBK
9/10/2018,1,3,29,HBK
9/10/2018,2,,30,HBK
9/10/2018,3,,18,HBK
9/10/2018,4,,12,HBK
9/10/2018,5,,6,HBK
9/10/2018,6,,11,HBK
9/10/2018,7,,1,HBK
9/10/2018,8,,10,HBK
9/10/2018,9,,6,HBK
9/10/2018,10,,6,HBK
9/17/2018,1,,7,HBK
9/17/2018,2,,,HBK
9/17/2018,3,,10,HBK
9/17/2018,4,1,5,HBK
9/17/2018,5,1,16,HBK
9/17/2018,6,,10,HBK
9/17/2018,7,1,6,HBK
9/17/2018,8,1,4,HBK
9/17/2018,9,,5,HBK
