Date,Trap #,Dipteran_large,Terrestrial_large,Caddisfly_large,Mayfly_large,Stonefly_large,Other_large,Dipteran_small,Terrestrial_small,Other_small
5/21/2018,1,10,2,,,,3,16,2,10
5/21/2018,2,3,1,,,1,4,6,,7
5/21/2018,3,2,3,,,,,6,2,
5/21/2018,4,4,1,,,,,13,2,5
5/21/2018,5,4,1,,,,,8,2,3
5/21/2018,6,3,,,,,2,7,1,3
5/21/2018,7,2,,,,,,67,,
5/21/2018,8,4,2,,,1,,29,,2
5/21/2018,9,3,,,,1,1,17,2,8
5/21/2018,10,3,1,,,,2,7,5,6
5/29/2018,1,5,4,,,1,2,21,9,32
5/29/2018,2,4,1,,,,,8,6,14
5/29/2018,3,4,5,,,,2,19,13,13
5/29/2018,4,1,3,,,,3,10,5,11
5/29/2018,5,11,6,,,,,51,4,12
5/29/2018,6,12,2,,,1,,13,4,6
5/29/2018,7,4,1,,,,3,35,6,8
5/29/2018,8,,,,,,,11,2,3
5/29/2018,9,2,3,,,,,47,10,13
5/29/2018,10,7,,,,,,10,1,5
6/4/2018,1,4,,,,,1,11,,8
6/4/2018,2,4,,,,,,29,,7
6/4/2018,3,6,,1,,,1,40,,16
6/4/2018,4,2,,1,,1,,33,,7
6/4/2018,5,4,,,,,1,27,,
6/4/2018,6,14,,,,,2,67,,12
6/4/2018,7,13,1,,,,2,44,,18
6/4/2018,8,6,2,,,1,1,20,,22
6/4/2018,9,3,4,,,,1,33,,36
6/4/2018,10,3,2,,,1,2,22,,18
6/11/2018,1,15,,,,,,26,,2
6/11/2018,2,2,,,,,1,27,,5
6/11/2018,3,2,1,,,,2,70,,7
6/11/2018,4,,3,,,1,,31,,4
6/11/2018,5,,3,,,1,,13,,4
6/11/2018,6,6,1,,,1,3,55,,24
6/11/2018,7,3,1,,,,,14,,3
6/11/2018,8,4,2,,,,,77,,8
6/11/2018,9,2,,,,,1,35,,4
6/11/2018,10,1,,,,,,11,,2
6/18/2018,1,1,,,,1,3,20,,6
6/18/2018,2,3,,,,1,2,27,,4
6/18/2018,3,4,1,1,,,4,66,,8
6/18/2018,4,3,2,,,,7,41,,
6/18/2018,5,3,3,,,,4,45,,36
6/18/2018,6,3,3,1,,3,,56,,34
6/18/2018,7,4,8,2,,3,,41,,
6/18/2018,8,3,1,1,,,1,45,,31
6/18/2018,9,3,1,,,,,21,,
