"Watershed","date","Trap","invert","size","count_zero"
1,2018-05-14,6,"Dipteran","Large",1
1,2018-05-14,4,"Dipteran","Large",0
1,2018-05-14,10,"Dipteran","Large",0
1,2018-05-14,2,"Dipteran","Large",0
1,2018-05-14,7,"Dipteran","Large",0
1,2018-05-14,1,"Dipteran","Large",0
1,2018-05-14,3,"Dipteran","Large",0
1,2018-05-14,5,"Dipteran","Large",1
1,2018-05-14,8,"Dipteran","Large",4
1,2018-05-14,9,"Dipteran","Large",2
1,2018-05-21,7,"Dipteran","Large",1
1,2018-05-21,9,"Dipteran","Large",4
1,2018-05-21,10,"Dipteran","Large",2
1,2018-05-21,3,"Dipteran","Large",0
1,2018-05-21,1,"Dipteran","Large",2
1,2018-05-21,2,"Dipteran","Large",1
1,2018-05-21,4,"Dipteran","Large",3
1,2018-05-21,5,"Dipteran","Large",2
1,2018-05-21,6,"Dipteran","Large",1
1,2018-05-21,8,"Dipteran","Large",1
1,2018-05-29,9,"Dipteran","Large",0
1,2018-05-29,1,"Dipteran","Large",4
1,2018-05-29,7,"Dipteran","Large",2
1,2018-05-29,8,"Dipteran","Large",1
1,2018-05-29,4,"Dipteran","Large",2
1,2018-05-29,2,"Dipteran","Large",0
1,2018-05-29,3,"Dipteran","Large",4
1,2018-05-29,6,"Dipteran","Large",1
1,2018-05-29,5,"Dipteran","Large",3
1,2018-05-29,10,"Dipteran","Large",1
1,2018-06-04,6,"Dipteran","Large",0
1,2018-06-04,8,"Dipteran","Large",2
1,2018-06-04,9,"Dipteran","Large",0
1,2018-06-04,2,"Dipteran","Large",1
1,2018-06-04,3,"Dipteran","Large",1
1,2018-06-04,7,"Dipteran","Large",1
1,2018-06-04,4,"Dipteran","Large",7
1,2018-06-04,1,"Dipteran","Large",1
1,2018-06-04,5,"Dipteran","Large",3
1,2018-06-04,10,"Dipteran","Large",2
1,2018-06-04,NA,"Dipteran","Large",0
1,2018-06-11,1,"Dipteran","Large",0
1,2018-06-11,2,"Dipteran","Large",1
1,2018-06-11,3,"Dipteran","Large",0
1,2018-06-11,5,"Dipteran","Large",2
1,2018-06-11,7,"Dipteran","Large",4
1,2018-06-11,6,"Dipteran","Large",3
1,2018-06-11,4,"Dipteran","Large",2
1,2018-06-11,8,"Dipteran","Large",6
1,2018-06-11,9,"Dipteran","Large",2
1,2018-06-11,10,"Dipteran","Large",2
1,2018-06-18,10,"Dipteran","Large",1
1,2018-06-18,4,"Dipteran","Large",2
